pi_system_time_s,status_code,uwb_data.local_node.id,uwb_data.local_node.role,uwb_data.anchor_info.anchor_count,dis_0,dis_1,dis_2,dis_3,imu_data.IMU_temp,imu_data.accX,imu_data.accY,imu_data.accZ,imu_data.gyroX,imu_data.gyroY,imu_data.gyroZ,imu_data.MagX,imu_data.MagY,imu_data.MagZ,imu_data.magX,imu_data.magY,imu_data.magZ,imu_data.roll,imu_data.tilt,imu_data.pan,imu_data.Qw,imu_data.Qx,imu_data.Qy,imu_data.Qz,imu_data.timestamp,imu_data.readtime
1742703764.121830,,0,Tag,4,5.923,3.689,3.548,6.171,,9.705181,-1.151775,0.10491200000000000,0.04998,-0.039788,0.165684,-1289.361024,-484.665536,356.383936,-1288.5,-468.0,381.0,-83.245296,84.847296,139.60521600000000,-0.230018,0.634273,0.30399900000000000,0.6725870000000000,58927.095,58929.48
1742703764.142290,,0,Tag,4,5.964,3.673,3.586,6.248,,9.693517,-1.1480330000000000,0.09743400000000000,0.06828,0.041814,0.073986,-1283.3652480000000,-480.237664,358.09961600000000,-1282.5,-463.5,382.5,-83.24509600000000,84.853296,139.599952,-0.230019,0.634274,0.304006,0.672582,58947.095,58949.514
1742703764.161670,,0,Tag,4,5.93,3.684,3.569,6.198,,9.702044000000000,-1.1419680000000000,0.104019,0.01206,0.027995,0.073207,-1292.361344,-481.66864,356.511616,-1291.5,-465.0,381.0,-83.245992,84.851168,139.601104,-0.230019,0.634278,0.303996,0.6725830000000000,58967.095,58969.518000000000
1742703764.182080,,0,Tag,4,5.937,3.644,3.586,6.229,,9.726551000000000,-1.137286,0.104589,-0.001963,0.069663,0.09951,-1295.3460480000000,-487.392384,350.240544,-1294.5,-471.0,375.0,-83.246408,84.842888,139.609504,-0.23002500000000000,0.634274,0.303991,0.6725870000000000,58987.095,58989.478
1742703764.202500,,0,Tag,4,5.932,3.619,3.609,6.229,,9.707831000000000,-1.153734,0.097812,-0.100786,-0.058022,0.11153000000000000,-1286.361856,-478.67171200000000,356.661344,-1285.5,-462.0,381.0,-83.24623200000000,84.836928,139.614592,-0.230021,0.634272,0.303985,0.672593,59007.095,59009.514
1742703764.221880,,0,Tag,4,5.956,3.68,3.616,6.137,,9.69726,-1.138992,0.106733,0.011798,0.012160000000000000,0.114826,-1287.86176,-478.67171200000000,356.657664,-1287.0,-462.0,381.0,-83.246376,84.83076800000000,139.620192,-0.23002,0.634269,0.30398,0.6725980000000000,59027.095,59029.515
1742703764.241260,,0,Tag,4,5.949,3.677,3.548,6.239,,9.721814,-1.142154,0.10352400000000000,-0.019668000000000000,-0.000439,0.078969,-1286.343552,-478.33417600000000,349.169184,-1285.5,-462.0,373.5,-83.24744800000000,84.828808,139.622592,-0.23003000000000000,0.63427,0.30397600000000000,0.6725950000000000,59047.095,59049.479
1742703764.262750,,0,Tag,4,5.952,3.687,3.588,6.178,,9.718283,-1.150617,0.102611,0.011366,-0.115468,0.10961300000000000,-1283.35744,-484.598016,354.900192,-1282.5,-468.0,379.5,-83.246984,84.826752,139.625264,-0.23003100000000000,0.634266,0.303981,0.672597,59067.095,59069.514
1742703764.283180,,0,Tag,4,5.913,3.623,3.553,6.128,,9.702077,-1.151452,0.107267,-0.058538,-0.085001,0.068323,-1287.854464,-478.536704,353.6608,-1287.0,-462.0,378.0,-83.247016,84.839328,139.61273600000000,-0.23002800000000000,0.634274,0.303985,0.672588,59087.095,59089.514
1742703764.301500,,0,Tag,4,5.909,3.633,3.644,6.171,,9.699232,-1.151848,0.10364800000000000,0.067742,-0.05556,0.112274,-1287.87264,-480.372704,361.08544,-1287.0,-463.5,385.5,-83.246984,84.84552,139.606112,-0.23002300000000000,0.6342790000000000,0.303985,0.672585,59107.095,59109.478
