pi_system_time_s,status_code,uwb_data.local_node.id,uwb_data.local_node.role,uwb_data.anchor_info.anchor_count,dis_0,dis_1,dis_2,dis_3,imu_data.IMU_temp,imu_data.accX,imu_data.accY,imu_data.accZ,imu_data.gyroX,imu_data.gyroY,imu_data.gyroZ,imu_data.MagX,imu_data.MagY,imu_data.MagZ,imu_data.magX,imu_data.magY,imu_data.magZ,imu_data.roll,imu_data.tilt,imu_data.pan,imu_data.Qw,imu_data.Qx,imu_data.Qy,imu_data.Qz,imu_data.timestamp,imu_data.readtime
1742703963.119090,,0,Tag,4,5.966,4.036,3.173,5.727,,7.978609,-1.11815,1.4059470000000000,-90.584648,-0.821419,-0.321917,-1275.67168,-503.699232,278.984352,-1275.0,-490.5,304.5,-85.51136,107.78723200000000,102.26268000000000,-0.15551000000000000,0.683743,0.210828,0.681074,257927.095,257929.253
1742703963.139520,,0,Tag,4,5.868,4.03,3.138,5.743,,7.717476,-1.0394380000000000,1.648118,-90.414408,-0.7909610000000000,0.775393,-1269.6574720000000,-500.43228800000000,273.140352,-1269.0,-487.5,298.5,-85.508264,105.41971200000000,102.81210400000000,-0.144616,0.685858,0.20002200000000000,0.6845980000000000,257947.095,257949.21600000000
1742703963.159960,,0,Tag,4,5.988,4.082,3.09,5.693,,8.862372000000000,-0.8777930000000000,2.423069,-90.17520000000000,-1.930655,1.2757160000000000,-1277.1312640000000,-504.455072,262.430448,-1276.5,-492.0,288.0,-85.52114400000000,102.93837600000000,103.485208,-0.133856,0.6877330000000000,0.18911600000000000,0.687997,257967.095,257969.218
1742703963.179340,,0,Tag,4,5.947,4.101,3.035,5.6,,9.562295000000000,-1.2951360000000000,3.145086,-87.49004,-15.14283,-0.35951100000000000,-1278.598912,-496.35520000000000,249.27843200000000,-1278.0,-484.5,274.5,-85.510144,101.868872,102.751408,-0.122944,0.690105,0.178339,0.6905320000000000,257987.095,257989.25
1742703963.198730,,0,Tag,4,5.985,4.172,3.048,5.66,,8.847363,-0.199243,2.442341,-83.283368,-15.197154,-3.360684,-1281.5802880000000,-497.516064,241.71140800000000,-1281.0,-486.0,267.0,-85.414176,102.58090400000000,100.329752,-0.112037,0.693021,0.168606,0.6919100000000000,258007.095,258009.222
1742703963.219150,,0,Tag,4,5.992,4.189,3.014,5.624,,7.7925630000000000,-1.246729,2.3438340000000000,-86.744456,-5.656407,-2.9667150000000000,-1278.555392,-491.049696,231.49979200000000,-1278.0,-480.0,256.5,-85.34824000000000,102.768248,98.42409600000000,-0.101243,0.695564,0.15859500000000000,0.693388,258027.095,258029.222
1742703963.239570,,0,Tag,4,6.002,4.227,2.991,5.614,,8.425964,-0.7556230000000000,2.273993,-83.69783200000000,-9.145408,-1.776699,-1275.547648,-495.410016,228.30774400000000,-1275.0,-484.5,253.5,-85.286616,101.598872,97.89268,-0.09053400000000000,0.697253,0.14865600000000000,0.695372,258047.095,258049.256
1742703963.260010,,0,Tag,4,6.024,4.235,2.922,5.571,,8.941451000000000,-0.593251,2.2292290000000000,-84.747608,-9.549434,-1.35693,-1275.521792,-494.93744,217.81872000000000,-1275.0,-484.5,243.0,-85.26708000000000,101.188856,96.62159200000000,-0.080193,0.6991500000000000,0.13854,0.696823,258067.095,258069.228
1742703963.279480,,0,Tag,4,5.997,4.26,2.883,5.523,,9.230848,-0.622181,2.259962,-81.359344,-7.205855,-3.2559550000000000,-1281.511552,-487.242624,213.646304,-1281.0,-477.0,238.5,-85.2092,100.488976,95.65829600000000,-0.069695,0.700732,0.12875,0.698241,258087.095,258089.23200000000
1742703963.298860,,0,Tag,4,6.139,4.283,2.864,5.497,,8.647513,-0.8374460000000000,1.892447,-80.020568,-10.261943000000000,-2.146368,-1279.986432,-483.77312,203.295968,-1279.5,-474.0,228.0,-85.125408,99.871792,94.656784,-0.059290000000000000,0.702164,0.11936900000000000,0.6994280000000000,258107.095,258109.268
1742703963.319380,,0,Tag,4,6.06,4.309,2.89,5.473,,8.339461,-0.9772420000000000,1.821909,-77.911416,-9.930738,-3.142708,-1278.467072,-492.42630400000000,195.402432,-1278.0,-483.0,220.5,-85.026656,99.67704000000000,93.263424,-0.048975,0.703657,0.110237,0.700225,258127.095,258129.236
1742703963.338760,,0,Tag,3,6.124,4.388,2.825,,,8.543358,-1.9325190000000000,2.375002,-79.030872,-12.151505,-2.022498,-1278.445696,-486.02739200000000,186.681904,-1278.0,-477.0,211.5,-84.90472800000000,99.389736,91.98924800000000,-0.038665,0.7049560000000000,0.101396,0.7008990000000000,258147.095,258149.23500000000
